,word,meaning,pos
259,अंट+की+संट,inappropriate,adj
260,अँटना,: as a shoe,noun
261,अँटवा,cause to be contained,verb
262,अँटवा,make  fit,verb
263,अँटवा,cause to be filled full,verb
264,अंटा-गुड़गुड़,colloq dead drunk,adj
265,अंटा-चित्त,colloq prostrate,adj
266,अंटा-चित्त,down and out,adj
267,अंटाधार,19c shot through,adj
268,अंटी,reel or frame on which thread,noun
269,अंटी,is wound,noun
270,अंटी,space between two fingers,noun
271,अंटी,two fingers placed one over the other,verb
272,अंटी+कर,wind,verb
273,अंटी+करना,on the hand,noun
274,अंटी+कर,gather into a bunch,verb
275,अंटी+करना,or sheaf,noun
276,अंटी+कर,hide between the fingers,verb
277,अंटी+कर,pilfer,verb
278,अंटी+दे,throw down,verb
279,अंटीबाज़,lightfingered person,noun
280,अँठई,reg a tick found on dogs,noun
281,अंड,egg: the universe,noun
282,अंड-कटाह,shell of the worldegg,noun
283,अंड-कटाह,world,noun
284,अंड-कोश,scrotum,noun
285,अंड-कोश,muskbag,noun
286,अंड-कोश,transrupture,noun
287,अंड-कोश,hernia,noun
288,अंड+कोष,scrotum,noun
289,अंड+कोष,muskbag,noun
290,अंड+कोष,transrupture,noun
291,अंड+कोष,hernia,noun
292,अंडज,eggborn creatures,adj
293,अंडज˚-राय,king of birds: the fabulous bird Garuṛ,noun
294,अंड-वृत्त,ellipse,noun
295,अंड,castoroil tree,noun
296,अंड-बंड,entangled,adj
297,अंड-बंड,incoherent,adj
298,अंडा,kind of firework,noun
299,अंडा+खटक,egg to hatch,verb
300,अंडा+फूट,egg to hatch,verb
301,अंडा+दे,lay eggs,verb
302,अंडा+ढीला+हो+जा,colloq to be reduced to dire straits,verb
303,अंडा+ढीला+हो+जा,become enfeebled,verb
304,अंडा+ढीला+हो+जा,become bankrupt,verb
305,अंडा+का,colloq to be reduced to dire straits,verb
306,अंडा+का,become enfeebled,verb
307,अंडा+का,become bankrupt,verb
308,अंडा+से,sit on eggs,verb
309,अंडा+से,brood,verb
310,अंडा+से,be a recluse,verb
311,अंडा+सेना,stayathome,noun
312,अंडा+अंडे+का+शहज़ादा,greenhorn,noun
313,अंडा-सा,egglike,adj
314,अंडा-सा,oval,adj
315,अंडा-सा,elliptical,adj
316,अंडा+अंडे-बच्चे,pl children,noun
317,अंडा+अंडे-बच्चे,chicks,noun
318,अंडा+अंडे-बच्चे,brood,noun
319,अँड़िया,colloq to prod an animal in the hindquarters in order to make it move more quickly,verb
320,अंडी,oilbearing fruit of the castor tree,noun
321,अंडी+का+तेल,castor oil,noun
322,अंडी,kind of material,noun
323,अँड़ैल,about to lay,adj
324,अंत,and sibilant consonants in the Devanāgarī syllabary,noun
325,अंत-+अंतःकक्ष,inner chamber,noun
326,अंत-+अंतःकरण,inner faculty: heart,noun
327,अंत-+अंतःकरण,soul,noun
328,अंत-+अंतःकरण,mind,noun
329,अंत-+अंतःकरण,conscience,noun
330,अंत-+अंतःकालीन,provisional,adj
331,अंत-+अंतःकालीन,temporary,adj
332,अंत-+अंतःक्रिया,inner or hidden process,noun
333,अंत-+अंतःक्षेत्रीय,interregional,adj
334,अंत-+अंतःपटी,inner curtain: stage scenery,noun
335,अंत-+अंतःपुर,inner or women's quarters,noun
336,अंत-+अंतःपुर,house,noun
337,अंत-+अंतःप्रकृति,inner nature,noun
338,अंत-+अंतःप्रत्यय,m,noun
339,अंत-+अंतःसलिल,subterranean,adj
340,अंत-+अंतःसलिल˚आ,river Sarasvatī,noun
341,अंत-+अंतःस्थ,situated in the middle: the semivowels and liquid consonants,adj
342,अंत-+अंतःस्थित+राज्य,buffer state,noun
343,अंत-+अंतःस्थित,internal,adj
344,अंत-+अंतःस्थित,medial,adj
345,अंत-+अंतःस्वर,inner voice,noun
346,अंत-+अंतःस्वर,heart's promptings,noun
347,अंत,utmost extent,noun
348,अंत,frontier region,noun
349,अंत,inner or hidden part,noun
350,अंत,inner knowledge,noun
