	Unnamed: 0	word	meaning	pos
222	446	अंजनी_1	woman_2	noun
223	450	अंजनी-कुमार_1	m_3	noun
224	458	अंजर-पंजर_2	joints_1	noun
225	459	अंजर-पंजर_3	parts_1	noun
226	460	अंजर-पंजर_4	machine_1	noun
227	464	अंजरा_1	nettle_1	noun
228	474	अंजाम_4	conclusion_1	noun
229	476	अंजाम_5	upshot_1	noun
230	479	अंजाम+दे_1	finish_1	verb
231	480	अंजाम+दे_2	manage_1	verb
232	482	अंजाम+को_1	finish_2	verb
233	483	अंजाम+को_2	manage_2	verb
234	485	अंजीर_2	figtree_1	noun
235	488	अंजुमन_3	assembly_1	noun
236	492	अँजोरा_1	bright_1	adj
237	493	अंझा_1	interval_1	noun
238	494	अंझा_2	postponement_1	noun
239	495	अंट_1	twist_3	noun
240	496	अंट_2	entanglement_1	noun
241	497	अंट+की+संट_1	incoherent_1	adj
242	498	अंट+की+संट_2	rambling_1	adj
243	499	अंट+की+संट_3	inappropriate_1	adj
244	502	अँट_1	fit_1	verb
245	505	अँट_2	suffice_1	verb
246	508	अँटवा_1	cram_1	verb
247	511	अंटा_2	marble_1	noun
248	512	अंटा_3	pill_1	noun
249	513	अंटा_4	transbilliards_1	noun
250	519	अँटिया_1	bundle_1	noun
251	520	अँटिया_2	bunch_1	noun
252	521	अँटिया_3	handful_1	noun
253	525	अंटी_3	24_1	noun
254	528	अंटी+कर_1	wind_1	verb
255	533	अंटी+कर_2	pilfer_1	verb
256	539	अँठला_1	stutter_1	verb
257	540	अँठली_1	dimin_1	noun
258	542	अंड_2	testicle_1	noun
259	546	अंड-कटाह_1	world_1	noun
260	547	अंड-कोश_1	scrotum_1	noun
261	548	अंड-कोश_2	muskbag_1	noun
262	549	अंड-कोश_3	transrupture_1	noun
263	550	अंड-कोश_4	hernia_1	noun
264	551	अंड+कोष_1	scrotum_2	noun
265	552	अंड+कोष_2	muskbag_2	noun
266	553	अंड+कोष_3	transrupture_2	noun
267	554	अंड+कोष_4	hernia_2	noun
268	555	अंडज_1	eggborn_1	adj
269	557	अंडज_2	fish_1	adj
270	558	अंडज_3	birds_1	adj
271	560	अंड-वृत्त_1	ellipse_1	noun
272	561	अंडाकार_1	eggshaped_1	noun
273	562	अंडाकार_2	oval_1	noun
274	563	अंडाकार_3	elliptical_1	noun
275	564	अंडाकृति_1	oval_2	noun
276	565	अंडाकृति_2	ellipse_2	noun
277	566	अंडाशय_1	ovaries_1	noun
278	568	अंड-बंड_3	entangled_1	adj
279	569	अंड-बंड_4	incoherent_2	adj
280	583	अंडा+से_1	brood_1	verb
281	585	अंडा+सेना_1	stayathome_1	noun
282	586	अंडा+अंडे+का+शहज़ादा_1	greenhorn_1	noun
283	587	अंडा-सा_1	egglike_1	adj
284	588	अंडा-सा_2	oval_3	adj
285	589	अंडा-सा_3	elliptical_2	adj
286	591	अंडा+अंडे-बच्चे_1	chicks_1	noun
287	592	अंडा+अंडे-बच्चे_2	brood_2	noun
288	601	अंत-+अंतःकरण_1	soul_1	noun
289	602	अंत-+अंतःकरण_2	mind_1	noun
290	603	अंत-+अंतःकरण_3	conscience_1	noun
291	604	अंत-+अंतःकालीन_1	provisional_1	adj
292	605	अंत-+अंतःकालीन_2	temporary_1	adj
293	607	अंत-+अंतःक्षेत्रीय_1	interregional_1	adj
294	610	अंत-+अंतःपुर_1	house_1	noun
295	612	अंत-+अंतःप्रत्यय_1	m_4	noun
296	613	अंत-+अंतःसलिल_1	subterranean_1	adj
297	617	अंत-+अंतःस्थित_1	internal_1	adj
298	618	अंत-+अंतःस्थित_2	medial_1	adj
299	622	अंत_7	completion_1	noun
300	624	अंत_8	outcome_1	noun
301	626	अंत_9	limit_1	noun
302	627	अंत_10	boundary_1	noun
303	629	अंत_11	outskirts_1	noun
304	631	अंत_12	death_1	noun
305	632	अंत_13	destruction_1	noun
306	634	अंत_14	essence_1	noun
307	635	अंत_15	soul_2	noun
308	636	अंत_16	heart_1	noun
309	637	अंत_17	mind_2	noun
310	641	अंत+कर_1	complete_1	verb
311	643	अंत+का_1	complete_2	verb
312	647	अंत+में_1	finally_1	adv
313	649	अंत+ले_1	worry_1	verb
314	650	अंत+ले_2	harass_1	verb
315	652	अंत+का_2	worry_2	verb
316	653	अंत+का_3	harass_2	verb
317	657	अंत+हो+जा_1	die_1	verb
318	659	अंत-कर्म_1	death_2	noun
319	660	अंत-कर्म_2	destruction_2	noun
320	666	अंत-गति_1	decease_1	noun
321	667	अंत-गति_2	death_3	noun
322	669	अंतज_1	m_5	adj
323	670	अंतत_1	finally_2	adv
324	671	अंतत_2	inside_1	adv
325	674	अंततोगत्वा_3	finally_3	adv
326	677	अँतड़ी_1	entrails_1	noun
327	678	अँतड़ी_2	vitals_1	noun
328	693	अंतर्-_1	interior_1	noun
329	694	अंतर्-_2	inner_1	noun
330	695	अंतर्-_3	internal_2	noun
331	696	अंतर्-_4	intermediate_1	noun
332	697	अंतर्-_5	within_1	noun
333	698	अंतर्-_6	among_1	noun
334	699	अंतर्-_7	inter_1	noun
335	700	अंतर्-+अंतरंग_1	internal_3	adj
336	701	अंतर्-+अंतरंग_2	inner_2	adj
337	702	अंतर्-+अंतरंग_3	close_1	adj
338	703	अंतर्-+अंतरंग_4	intimate_1	adj
339	705	अंतर्-+अंतरंग_5	subsidiary_1	adj
340	706	अंतर्-+अंतरंग_6	heart_2	adj
341	707	अंतर्-+अंतरंग_7	relative_1	adj
342	710	अंतर्-+अंतरात्मा_1	spirit_1	noun
343	711	अंतर्-+अंतरायण_1	internment_1	noun
344	713	अंतर्-+अंतराल_1	interval_2	adj
345	714	अंतर्-+अंतराल_2	interior_2	adj
346	715	अंतर्-+अंतराल_3	internal_4	adj
347	716	अंतर्-+अंतराल_4	central_1	adj
348	717	अंतर्-+अंतरीप_1	island_1	noun
349	718	अंतर्-+अंतरीप_2	promontory_1	noun
350	719	अंतर्-+अंतरीप_3	cape_1	noun
351	720	अंतर्-+अंतरीप_4	peninsula_1	noun
352	722	अंतर्-+अंतर्गत_1	internal_5	adj
353	723	अंतर्-+अंतर्गत_2	innermost_1	adj
354	724	अंतर्-+अंतर्गत_3	hidden_1	adj
355	725	अंतर्-+अंतर्गत_4	included_1	adj
356	726	अंतर्-+अंतर्गत_5	ppn_1	adj
357	727	अंतर्-+अंतर्गत˚गति_1	mental_1	noun
358	730	अंतर्-+अंतर्ग्रस्त_1	involved_1	adj
359	731	अंतर्-+अंतर्ग्रस्त_2	concerned_1	adj
360	733	अंतर्-+अंतर्जात_1	innate_1	adj
361	734	अंतर्-+अंतर्जात_2	endogamous_1	adj
362	735	अंतर्-+अंतर्जात˚ईय_1	international_1	adj
363	736	अंतर्-+अंतर्जात˚ईय_2	intercaste_1	adj
364	737	अंतर्-+अंतर्ज्ञान_1	intuition_1	noun
365	739	अंतर्-+अंतर्ज्वाला_1	remorse_1	noun
366	741	अंतर्-+अंतर्दर्शी_1	introspective_1	adj
367	743	अंतर्-+अंतर्दाह_1	remorse_2	noun
368	744	अंतर्-+अंतर्दाह_2	heat_2	noun
369	747	अंतर्-+अंतर्देशीय_1	inland_1	adj
370	748	अंतर्-+अंतर्देशीय_2	internal_6	adj
371	749	अंतर्-+अंतर्देशीय_3	domestic_1	adj
372	752	अंतर्-+अंतर्द्वंद्व_1	state_1	noun
373	755	अंतर्-+अंतर्धान_1	disappearance_1	adj
374	756	अंतर्-+अंतर्धान_2	concealment_1	adj
375	757	अंतर्-+अंतर्धान_3	disappeared_1	adj
376	758	अंतर्-+अंतर्धान_4	secret_1	adj
